TANGGAL,TN,TX,TAVG,RH_AVG,RR,SS,FF_X,DDD_X,FF_AVG,DDD_CAR
03-04-2023,24.4,31.2,27.6,80,8888,6.6,5,320,2,NW
04-04-2023,24.7,31.4,27.9,77,0,9.2,5,350,2,SE
05-04-2023,24.8,31.6,27.9,75,0,5.9,6,330,2,NW
06-04-2023,25,31.7,27.8,77,0,10.2,7,300,2,E 
07-04-2023,25.4,32.3,28,74,9999,6,5,360,2,S 
08-04-2023,25,31.8,27.4,82,8888,5.2,5,10,2,C 
09-04-2023,24,30.8,27.7,77,8.6,6.6,6,320,2,NW
10-04-2023,25.1,30.8,27.4,79,0,8,5,330,2,C 
11-04-2023,24.7,31.2,27.9,78,2.3,4.8,5,310,2,NW
12-04-2023,25.5,32.2,28.8,75,0.8,6.8,5,340,2,NW
13-04-2023,25,31.7,9999,9999,8.2,6,4,280,2,E 
14-04-2023,25.2,32,28.2,81,0,4.3,6,340,2,C 
15-04-2023,25.4,32.5,28.9,73,0,6.7,5,320,2,N 
16-04-2023,26.1,31.8,28.6,77,0.7,7.8,4,320,2,NW
17-04-2023,26.4,32.2,28.7,78,0,8.9,5,350,3,E 
18-04-2023,26.6,34.4,29.8,73,0,7.8,7,90,3,E 
19-04-2023,26.6,34.5,29.8,72,9999,7.6,6,350,3,E 
20-04-2023,26.8,32.8,29.1,78,0,8.8,3,60,2,SE
21-04-2023,26.5,32,28.8,78,8888,7.3,6,350,3,SE
22-04-2023,26.8,34,29.1,74,0.4,6.2,8,100,3,E 
23-04-2023,26.5,34.3,30.3,70,1.8,10,6,100,3,E 
24-04-2023,27.6,34.2,29.9,70,9999,9.5,7,310,3,E 
25-04-2023,25.2,33.6,28.8,78,2,10,6,340,2,E 
26-04-2023,25.4,33.2,29,80,19.5,8,5,300,2,E 
27-04-2023,25.4,34.2,29.4,75,11.2,9.8,6,360,2,SE
28-04-2023,25.9,33.6,29.1,76,8888,8.5,6,310,2,NW
29-04-2023,25.5,31.2,27.9,85,16,10.3,4,310,2,E 
30-04-2023,25.5,32.2,28.5,76,0.2,5.2,5,310,2,NW
01-05-2023,25.6,32.4,28.8,80,2.6,8.9,5,300,2,SE
02-05-2023,25,32.8,28.8,78,0,7.1,5,320,3,S 
03-05-2023,26,33.6,9999,9999,25,9.8,6,310,2,SE
04-05-2023,25,33.2,29.5,75,22,6.4,5,80,2,E 
05-05-2023,25.6,34.1,28.1,80,0.3,10,5,90,3,E 
06-05-2023,25.5,33.3,28.8,79,36.5,8.5,5,310,2,C 
07-05-2023,26,32.8,29,75,9999,7.5,5,310,2,NW
08-05-2023,25,33,29,80,8888,8.8,5,330,2,NW
09-05-2023,26.6,32,29.2,77,0,8,5,310,2,NW
10-05-2023,26.7,33.8,29.9,72,0,4.5,9,60,4,E 
11-05-2023,9999,9999,9999,88,0,8.3,5,120,3,E 
12-05-2023,25,34.6,30.1,71,15.5,0,9,110,4,E 
13-05-2023,26,34.2,29.5,74,9999,9.3,5,310,2,C 
14-05-2023,22.2,34.2,28.6,67,0,6.2,5,310,2,C 
15-05-2023,24.4,33.6,28.6,69,0,10.4,4,100,2,SE
16-05-2023,23.8,33,27.9,68,0,8.4,6,10,2,E 
17-05-2023,23.8,34.2,28.2,65,0,9.8,6,70,2,E 
18-05-2023,23.2,33.8,28.4,62,9999,9.4,4,90,2,E 
19-05-2023,24.7,33.3,28.9,65,9999,8.7,5,140,2,E 
20-05-2023,23.4,33.4,28.9,73,0,9,5,100,2,E 
21-05-2023,25.2,33.8,28.8,72,0,8,5,100,3,E 
22-05-2023,24.9,33.2,28.4,72,0,9.6,5,90,2,E 
23-05-2023,24.7,32.8,28.4,69,0,10,6,90,2,E 
24-05-2023,24.8,33.6,28.7,71,0,10.2,6,100,2,E 
25-05-2023,24.6,34.9,29.1,69,9999,8.2,6,90,3,E 
26-05-2023,24.2,33.6,29.4,68,8.6,9.3,6,60,3,E 
27-05-2023,25.7,32.7,29.5,67,0,10,5,340,3,E 
28-05-2023,24.2,32.6,28,66,0,8.2,5,360,2,SE
29-05-2023,24.2,32.8,29,67,0,10.2,5,300,2,E 
30-05-2023,25.4,33.8,29,67,0.2,8.1,8,90,3,E 
31-05-2023,24.8,34.4,29.5,66,8888,7.5,6,90,3,E 
01-06-2023,24.6,34,28.2,72,0,7.7,6,350,2,E 
02-06-2023,24.8,34.3,29.3,71,0,9.7,7,100,2,E 
03-06-2023,25.6,33.6,29.7,71,0,10,5,330,2,NW
04-06-2023,25.4,34.6,29.1,73,9999,9.5,5,170,2,NW
05-06-2023,25.6,33.5,28.8,78,2,7,4,70,2,E 
06-06-2023,26,33.9,28.4,74,8888,4,8,90,2,SE
07-06-2023,25.8,33.6,28.9,73,38.8,7.3,6,70,3,E 
08-06-2023,25.6,33.6,28.9,74,3,7,7,70,3,E 
09-06-2023,25.2,34.4,29.2,72,0,10.9,6,80,2,SE
10-06-2023,25,33.9,28.4,73,9999,10.1,5,300,2,E 
11-06-2023,24.7,35.3,28.8,71,0,10,5,100,3,E 
12-06-2023,25,33.8,29.5,69,13,8.7,6,90,3,E 
13-06-2023,24.6,33.6,29.1,72,0,10,6,70,4,E 
14-06-2023,24.8,33.9,29.2,68,0,10,6,80,3,E 
15-06-2023,24.5,32.8,28.8,66,0,9.5,6,90,2,E 
16-06-2023,25,32,27.8,73,9999,4,6,70,3,E 
17-06-2023,25.1,32.6,28.9,69,0,9.8,7,310,4,E 
18-06-2023,26,32.4,28.8,76,9999,8,7,310,3,E 
19-06-2023,26.4,33,29.2,73,0,7.3,6,120,2,E 
20-06-2023,24.8,33.3,28.2,77,0.5,9.5,5,320,2,E 
21-06-2023,25.4,35.3,29.2,74,0,9,7,90,2,E 
22-06-2023,25,33.8,28.3,71,0,7.5,5,60,3,E 
23-06-2023,25,32.6,28.1,74,0,9.7,5,80,3,E 
24-06-2023,25,33.9,28.4,71,9999,9.2,6,10,2,E 
25-06-2023,24.6,33.4,27.3,80,9999,8.4,5,30,2,E 
26-06-2023,23.7,31.6,27.4,72,14.3,7.7,4,350,2,E 
27-06-2023,24.4,33.7,28.7,74,0,7.5,5,290,2,E 
28-06-2023,24.3,34,28.5,70,9999,8,5,90,2,E 
29-06-2023,23.8,34,28.6,74,0,7,4,320,2,NW
30-06-2023,24.7,34.8,28.8,72,0,8.3,5,80,2,C 
01-07-2023,25.4,33.8,29,72,0,8.4,7,310,3,NW
02-07-2023,24,34.2,28.1,73,0,9.3,5,310,2,E 
03-07-2023,24,33.2,28,73,4.5,7.8,5,320,2,NW
04-07-2023,24,34,28.4,69,9999,7.8,5,300,2,E 
05-07-2023,23.7,34.2,28.2,74,9999,9.8,5,240,2,E 
06-07-2023,25,33,28.6,74,8888,6,6,330,3,C 
07-07-2023,24.2,31.2,27.4,87,58.1,9.2,4,140,2,E 
08-07-2023,25.2,32.3,27.7,76,2,2.8,6,80,3,E 
09-07-2023,24.3,33.9,28.5,71,0,5.3,6,70,4,E 
10-07-2023,25.7,34.3,29.5,64,9999,10.2,6,100,3,E 
11-07-2023,24.6,32.1,28,73,8888,11,7,350,3,NW
12-07-2023,23.2,33.8,27.3,74,23.2,9.7,5,280,2,C 
13-07-2023,23.8,33.2,28.5,70,0,10.4,5,290,2,E 
14-07-2023,24.5,33.3,28.5,70,0,6.1,4,330,2,SE
15-07-2023,22.8,33.4,27.6,72,0,5,5,320,2,W 
16-07-2023,23.5,33.8,28.3,70,9999,9.5,5,310,2,E 
17-07-2023,22.4,34.2,27.5,66,0,8,6,80,3,E 
18-07-2023,22.2,34.2,27.5,69,0,11,6,100,3,E 
19-07-2023,22.8,34.2,27.5,66,0,9,6,70,2,E 
20-07-2023,21.3,34.4,27.3,61,9999,5.9,5,100,3,E 
21-07-2023,22.4,33.2,27.8,66,0,10.6,4,330,2,NW
22-07-2023,22.3,34.2,27.3,64,9999,10,6,70,3,E 
23-07-2023,23,33.4,28.1,71,9999,10.6,5,320,3,E 
24-07-2023,24.4,32.8,27.6,70,1.7,7,5,70,3,E 
25-07-2023,24.4,33.6,28,73,9999,8.7,8,90,3,E 
26-07-2023,24,34,27.9,66,9999,8.7,6,300,3,E 
27-07-2023,22.3,33.6,27,58,0,9.7,6,330,2,SE
28-07-2023,22.4,33.2,27.3,66,0,11,6,100,3,E 
29-07-2023,22.7,34.3,27.3,66,9999,9.6,6,70,3,E 
30-07-2023,23.2,34.8,27.6,63,0,10.1,7,80,3,E 
31-07-2023,23,34,27.7,64,9999,10,7,9999,4,E 
01-08-2023,24,34.2,29.5,55,0,10,9,110,4,E 
02-08-2023,26.4,34.8,29.6,66,9999,10.6,7,90,4,E 
03-08-2023,25.2,34,28.9,69,9999,8,6,80,3,E 
04-08-2023,24.4,35,28.5,68,9999,9.2,5,100,3,E 
05-08-2023,23.5,34.6,28.5,64,0,9.2,6,340,2,E 
06-08-2023,24.5,33.9,29,68,0,10.2,6,240,2,S 
07-08-2023,9999,34.6,28.6,67,9999,10,6,300,3,E 
08-08-2023,23.4,33,27.6,73,41.2,10.4,6,90,4,E 
09-08-2023,9999,33.2,27.6,67,8888,10.3,6,320,3,E 
10-08-2023,24.2,32.2,28,70,9999,10.5,6,300,3,E 
11-08-2023,21,33.2,26.8,66,0,10,7,290,3,SE
12-08-2023,21.5,34.3,27.1,58,0,10.7,7,310,3,E 
13-08-2023,23,33.8,28,64,0,9.5,7,80,3,E 
14-08-2023,23.9,34.2,28.1,62,9999,10.4,8,310,3,E 
15-08-2023,23.7,34.4,27.6,68,0,10.4,6,300,3,E 
16-08-2023,23.4,33.6,27.7,64,9999,9.5,7,310,3,NW
17-08-2023,23,33.6,27.8,64,0,10.3,6,130,2,SE
18-08-2023,23.3,33.2,28,64,0,9.8,6,320,2,SE
19-08-2023,23.8,34.4,27.9,63,0,8.9,7,190,3,E 
20-08-2023,24,34.6,29.9,60,8888,10.3,7,100,4,E 
21-08-2023,24.2,34.9,28.5,62,0,9.7,5,70,3,E 
22-08-2023,24.6,34.6,28.7,62,0,10.2,6,270,3,E 
23-08-2023,23.2,34.6,28,66,0,9.5,6,300,3,E 
24-08-2023,24,35.3,28.7,62,0,10.1,8,100,4,E 
25-08-2023,24.5,34.6,28.9,65,0,10.4,8,310,3,E 
26-08-2023,24.8,33.3,28.4,68,9999,10.3,7,320,3,E 
27-08-2023,25,33.5,28.5,65,0,9.8,6,310,3,E 
28-08-2023,23,34.1,28,62,9999,9.5,8,320,4,E 
29-08-2023,23,35,28.8,62,0,10.3,7,90,3,E 
30-08-2023,24.4,34.8,28.5,60,0,10.7,8,320,3,E 
31-08-2023,24.5,33.9,29.1,63,0,10.7,6,300,3,NW
01-09-2023,23.4,33.8,27.9,68,9999,10.3,6,330,3,NW
02-09-2023,23.2,33.8,27.6,60,0,10.7,7,100,3,E 
03-09-2023,23.2,34.4,28.6,51,0,9.2,7,110,3,E 
04-09-2023,22.6,35,27.8,57,0,10,7,330,3,E 
05-09-2023,23.2,35.4,29,54,0,10.2,6,50,3,E 
06-09-2023,23.3,33.4,27.9,63,0,10.3,6,310,3,NW
07-09-2023,24,34,28.5,64,9999,9.4,5,300,2,NW
08-09-2023,22.9,34.6,28.6,62,0,9.9,6,330,2,E 
09-09-2023,23.3,34.8,28.5,56,0,9,7,310,3,E 
10-09-2023,23.3,35.2,28.5,60,0,10.8,7,290,3,E 
